section,question,n_target_rules,n_retrieved_rules,len_context
9 Starting and Restarting Play,What can the receiving team do if the pulling team fails to maintain proper positioning before the pull?,1,0,6148
9 Starting and Restarting Play,What happens if a player on the throwing team touches the pull in the air before a member of the receiving team does?,1,0,5508
9 Starting and Restarting Play,Where is the disc put into play if the pull hits the ground untouched and remains in-bounds?,1,0,6451
9 Starting and Restarting Play,What must occur if there is a time violation by the receiving team after a team has already received a warning?,1,0,6483
9 Starting and Restarting Play,What should a player do to restart play with an offensive self-check?,1,0,5705
10 In- and Out-of-bounds,What is considered in-bounds on the playing field in ultimate?,1,1,6253
10 In- and Out-of-bounds,"If a player catches the disc in-bounds but their momentum carries them out-of-bounds, are they considered in-bounds or out-of-bounds?",1,1,5110
10 In- and Out-of-bounds,Can a thrower pivot with part of their body in the out-of-bounds area?,1,1,4485
10 In- and Out-of-bounds,What happens if an in-bounds defender catches the disc while airborne and then lands out-of-bounds?,1,1,5110
10 In- and Out-of-bounds,What defines a disc as being out-of-bounds?,1,1,5859
10 In- and Out-of-bounds,Can a disc fly outside the perimeter line and still be in play?,1,1,6290
10 In- and Out-of-bounds,How is a disc put back into play after it goes out-of-bounds?,1,1,5859
10 In- and Out-of-bounds,Does the status of a disc change if it is contacted by an observer?,1,1,3743
10 In- and Out-of-bounds,What happens if a player lands on an opponent and their first ground contact is out-of-bounds?,1,1,4330
10 In- and Out-of-bounds,Do events that happen after the disc goes out-of-bounds affect where it is put into play?,1,1,5859
11 End Zone Possession,What must a player do if they gain possession in the end zone they are defending due to a turnover?,1,0,4527
11 End Zone Possession,"If a player gains possession in their defending end zone, can they put the disc into play in between the spot of the disc and the goal line?",1,0,6850
11 End Zone Possession,What happens if a player delays unreasonably while carrying the disc to the goal line after gaining possession in their defending end zone?,1,0,6227
11 End Zone Possession,"When a team gains possession in the end zone they are attacking, where must the player put the disc into play?",1,0,6182
11 End Zone Possession,"If there is a dead disc in the attacking end zone, where is the disc checked into play?",1,0,6497
11 End Zone Possession,Can a player fake a throw after gaining possession in their defending end zone?,1,0,5403
11 End Zone Possession,"If a player gains possession in the attacking end zone without scoring, what must they do?",1,0,6642
11 End Zone Possession,What is the rule regarding the speed at which a player can carry the disc to the goal line in their defending end zone?,1,0,5869
11 End Zone Possession,What must a player do if they gain possession of a dead disc in the attacking end zone?,1,0,6830
11 End Zone Possession,"If a player gains possession in their defending end zone, can they choose to establish a pivot instead of carrying the disc to the goal line?",1,0,4256
12 Scoring,What constitutes a goal in ultimate according to rule 12.A?,1,1,5954
12 Scoring,What must a player's first point of ground contact be to be considered in the end zone according to rule 12.A.1?,1,1,4548
12 Scoring,"If a player receives a pass outside the end zone and comes to a stop contacting the end zone, what must they do according to rule 12.B?",1,1,7347
12 Scoring,What happens if a player scores but then unknowingly throws another pass according to rule 12.C?,1,1,5823
12 Scoring,Can a player call 'goal' before completing all ground contact related to the catch according to rule 12.D?,1,1,5948
12 Scoring,What should a player do to indicate a goal has been scored according to rule 12.D?,1,1,5989
12 Scoring,What happens after a contested or retracted goal call according to rule 12.D?,1,1,5681
12 Scoring,"In an observed game, does a player's 'goal' call stop play according to rule 12.D?",1,1,5829
12 Scoring,"If a player lands out of the end zone due to an uncontested force-out foul, what is the result according to rule 12.A.2?",1,1,5188
12 Scoring,What rule is the act of scoring a goal subject to according to rule 12.E?,1,1,6986
13 Turnovers,What happens if a pass is incomplete in ultimate?,1,0,5264
13 Turnovers,Does a disc contacting the ground without a player possessing it result in a turnover?,1,1,4251
13 Turnovers,What happens if the thrower accidentally drops the disc and it touches the ground?,1,0,5132
13 Turnovers,Is it a turnover if the thrower regains possession of an accidentally dropped disc before it contacts the ground?,1,1,4844
13 Turnovers,What is the result if a defender intercepts a pass but loses possession before ground contact?,1,0,3189
13 Turnovers,What happens if the marker's count reaches ten before the throw is released?,1,0,6609
13 Turnovers,Is handing the disc to another player allowed in ultimate?,1,0,6795
13 Turnovers,Does the thrower catching their own legally thrown disc result in a turnover?,1,1,6182
13 Turnovers,What is the consequence if an offensive player uses equipment to assist in catching a pass?,1,1,6935
13 Turnovers,Can tacky gloves be used to assist in catching a pass without causing a turnover?,1,1,5511
14 The Thrower,What must an offensive player do if they pick up a live or in-play disc?,1,0,6841
14 The Thrower,What should the thrower do when gaining possession at the spot where the disc is in play?,1,1,5866
14 The Thrower,What happens if an offensive player does not pick up an in-bounds disc within ten seconds after it comes to rest in the central zone?,2,1,5981
14 The Thrower,What is the time limit for putting the disc into play if it is out-of-bounds or comes to rest in the end zone?,1,0,6801
14 The Thrower,What must a player do if they introduce a replacement disc because the original disc is not retrievable quickly?,3,1,6068
14 The Thrower,What can a defensive player do if the offensive player delays putting the disc into play in violation of rule 20.B?,1,1,6033
14 The Thrower,What happens if the offensive player stops the behavior in violation of rule 20.B before the full utterance of 'zero'?,1,1,6007
14 The Thrower,What must a thrower do to put a live disc into play?,1,1,5792
14 The Thrower,Can non-playing members of the offensive team assist in retrieving a live disc?,1,1,6279
14 The Thrower,What must happen if the disc is out-of-bounds and the offensive team does not put it into play within twenty seconds?,1,1,6443
15 The Marker,What is the minimum time required to complete a legal stall count from one to ten?,1,1,5653
15 The Marker,Who is allowed to initiate or continue a stall count?,1,1,5653
15 The Marker,What happens if the thrower has not released the disc by the first utterance of the word 'ten'?,1,1,6703
15 The Marker,What must a new marker do if the defense switches markers during a stall count?,1,1,6204
15 The Marker,What is a 'fast count' violation?,1,1,6445
15 The Marker,"Can the thrower call a marking violation, and if so, how?",1,1,7167
15 The Marker,What is a 'double team' marking violation?,1,1,4445
15 The Marker,What should the marker do if a marking violation is called?,1,1,6763
15 The Marker,What is considered a 'disc space' violation?,1,1,6000
15 The Marker,What happens if a stall count is interrupted by a call?,1,1,5789
16. The Receiver,Can a player tip the disc to themselves to advance it?,1,0,5969
16. The Receiver,What must a player do after catching a pass?,1,0,5147
16. The Receiver,Is it legal for a player to bobble the disc to gain control?,1,0,7422
16. The Receiver,"If a player catches the disc while running, can they release a pass without stopping?",1,0,6003
16. The Receiver,What happens if offensive and defensive players catch the disc simultaneously?,1,0,6107
16. The Receiver,Who makes the call if it is unclear whether a catch was made in-bounds or out-of-bounds?,1,0,3912
16. The Receiver,Is it legal to tip the disc to someone else?,1,0,7325
16. The Receiver,What happens if a player increases speed after catching the disc while running?,1,0,5683
16. The Receiver,Can a player use the ground to help them catch the disc?,1,0,6212
16. The Receiver,Can a player kick the disc up to themselves to catch it?,1,0,4747
17. Violations and Fouls,Who is allowed to call an infraction during a game of ultimate?,1,1,6573
17. Violations and Fouls,What happens if a player contests an infraction call because they believe it did not occur?,1,1,6168
17. Violations and Fouls,What is the Continuation Rule in ultimate?,1,1,5298
17. Violations and Fouls,What should players do if they agree that an infraction did not affect the outcome of the play?,1,1,6505
17. Violations and Fouls,What is the procedure if a player makes a call and later realizes it was incorrect?,1,1,7146
17. Violations and Fouls,What is considered a 'dangerous play' in ultimate?,1,1,6408
17. Violations and Fouls,Can a player call a foul if they have only momentary contact with the disc?,1,0,6315
17. Violations and Fouls,"What is a pick in ultimate, and who can call it?",2,2,2500
17. Violations and Fouls,What is the rule regarding traveling in ultimate?,1,1,7624
17. Violations and Fouls,"What happens if a player stops playing because they hear a call, but the play was not actually affected?",1,1,6161
18. Positioning,Can a player take any position on the field if it is occupied by an opposing player?,1,1,2702
18. Positioning,"Is a player allowed to land at a different spot after jumping, even if the spot was occupied when they took off?",1,1,3921
18. Positioning,Does jumping to a spot instead of running negate a blocking foul?,1,1,6039
18. Positioning,Can a player use their extended arms to block an opponent's movement?,1,1,5374
18. Positioning,Are a player's arms considered extended during normal running and jumping?,1,1,5806
18. Positioning,What must a player ensure when taking a position on the field?,1,1,5794
18. Positioning,Is a player entitled to land at the take-off spot without interference?,1,1,5593
18. Positioning,Can a player extend their leg to block an opponent's path?,1,1,2875
18. Positioning,What happens if a player causes personal contact while trying to take a position?,1,1,5979
18. Positioning,What is a player responsible for when jumping to a new spot?,1,1,4117
19. Observers,When can observers be used in an ultimate game?,1,1,4712
19. Observers,What are some of the duties observers can perform during a game?,5,5,5802
19. Observers,Can an observer resolve a player dispute without a request from the players?,1,1,5423
19. Observers,What happens to play after an observer resolves a dispute?,1,1,5088
19. Observers,What authority do observers have regarding Spirit of the Game infractions?,1,1,6088
19. Observers,Do players have to follow the observers' decisions in a game with observers?,1,1,5801
19. Observers,Can players overrule an observer's decision?,1,1,5801
19. Observers,Under what conditions might observers deny a team's decision to decline a penalty?,1,1,5435
19. Observers,What is an example of when an observer should accept a declination of a penalty?,1,1,5934
19. Observers,What should happen if teams mutually agree to ignore sideline technicals and do not maintain proper safety buffers?,1,1,6243
20. Etiquette,What should a player do if they commit an infraction that goes uncalled?,1,0,7016
20. Etiquette,What is expected of players to prevent delays during play?,1,1,6129
20. Etiquette,What should happen if it's unclear which players are on the field during a stoppage of play?,1,0,7246
20. Etiquette,What is the procedure if a dispute arises on the field?,1,0,6201
20. Etiquette,How should experienced players handle a novice player committing an infraction out of ignorance?,1,1,7114
20. Etiquette,What must throwers do when a call is made during play?,1,1,5985
20. Etiquette,What can a marker do if a thrower does not stop play promptly after a call?,1,1,7327
20. Etiquette,What is the assumption about players in relation to intentionally violating the rules?,1,1,4923
20. Etiquette,What should players do to ensure fair play when a call is made?,1,1,7315
20. Etiquette,What is the responsibility of players regarding identifying themselves during a stoppage?,1,1,7201
Appendix A: Field Diagram,What is the depth of an End Zone in ultimate?,1,1,5271
Appendix A: Field Diagram,How long is the Central Zone on an ultimate field?,1,0,7099
Appendix A: Field Diagram,What is the width of the entire ultimate field?,2,1,7338
Appendix A: Field Diagram,How far is the brick mark from the goal line in ultimate?,1,0,6406
Appendix A: Field Diagram,What is the distance from the perimeter line to the equipment line on an ultimate field?,1,0,6627
Appendix A: Field Diagram,How far is the team line from the sideline on an ultimate field?,1,0,6627
Appendix A: Field Diagram,What symbol is used to mark the brick mark on an ultimate field?,1,1,2713
Appendix A: Field Diagram,What type of line is the goal line on an ultimate field?,1,0,5552
Appendix A: Field Diagram,What type of line is the perimeter line on an ultimate field?,1,0,6627
Appendix A: Field Diagram,What type of line is the team line on an ultimate field?,1,0,5669
Appendix B: Misconduct System,What happens if a team receives three Technical Fouls in a single game?,1,1,6849
Appendix B: Misconduct System,Can a team accrue an unlimited number of Technical Fouls during a game?,1,1,6063
Appendix B: Misconduct System,Do Team Misconduct Fouls (TMFs) carry over beyond the game in which they are issued?,1,1,6692
Appendix B: Misconduct System,What is the consequence if a team member receives a second Personal Misconduct Foul (PMF) during a single game?,1,1,6705
Appendix B: Misconduct System,What action results in an automatic TMF being assessed against a team?,2,1,6692
Appendix B: Misconduct System,What happens if five PMFs are assessed against team members on a single team during a game?,1,1,6411
Appendix B: Misconduct System,What behavior can lead to a TMF or PMF being issued for poor spirit?,1,1,6451
Appendix B: Misconduct System,What is the penalty for intentionally striking another person during a game?,1,1,5647
Appendix B: Misconduct System,Can a captain decline a misconduct penalty?,1,1,5468
Appendix B: Misconduct System,What must happen to a team member who is ejected from a game?,2,2,6463
Appendix C: Hand Signals,What hand signal indicates a player is in or out of bounds?,1,0,6204
Appendix C: Hand Signals,How do you signal that the disc is up?,1,0,5355
Appendix C: Hand Signals,What is the hand signal for a goal in ultimate?,1,0,5897
Appendix C: Hand Signals,How do you indicate a foul has occurred using hand signals?,1,0,5375
Appendix C: Hand Signals,What hand signal is used for a travel call in ultimate?,1,0,5161
Appendix C: Hand Signals,How is a timeout called using hand signals?,1,0,5283
Appendix C: Hand Signals,What hand signal represents an offsides call?,1,0,5962
Appendix C: Hand Signals,How do you signal a no contest call?,1,0,6035
Appendix C: Hand Signals,What is the hand signal for indicating a pick?,1,0,5161
Appendix C: Hand Signals,How is a false start signaled in ultimate?,1,0,7602
Appendix D: Youth Rules Adaptations,Are foot blocks allowed in Under-12 youth ultimate competitions?,1,0,7107
Appendix D: Youth Rules Adaptations,What happens if a player attempts a layout on defense in an Under-12 game?,1,0,5770
Appendix D: Youth Rules Adaptations,How many players are allowed on the field in an Under-15 youth ultimate game?,1,0,7297
Appendix D: Youth Rules Adaptations,What is the recommended field size for a 3v3 Under-12 game?,1,0,6450
Appendix D: Youth Rules Adaptations,What is the maximum game length for an Under-17/20 ultimate match?,1,0,5627
Appendix D: Youth Rules Adaptations,What size disc is used for Under-15 youth ultimate games?,1,0,8387
Appendix D: Youth Rules Adaptations,What should happen if a dropped pull occurs in an Under-15 game?,1,0,6764
Appendix D: Youth Rules Adaptations,Is spiking allowed in Under-17/20 youth ultimate competitions?,1,0,6380
Appendix D: Youth Rules Adaptations,Can Under-12 players use zone defense in their games?,1,1,3517
Appendix D: Youth Rules Adaptations,What is the rule regarding disc space for Under-15 youth ultimate games?,1,0,7167
Appendix E: Beach Ultimate Rules Adaptations,What is the recommended number of players per team in beach ultimate?,1,1,6635
Appendix E: Beach Ultimate Rules Adaptations,"How long is the standard field of play for a 5v5 beach ultimate game, including end zones?",1,1,7395
Appendix E: Beach Ultimate Rules Adaptations,How deep are the end zones in a 4v4 beach ultimate game?,1,1,7688
Appendix E: Beach Ultimate Rules Adaptations,Are shoes or cleats allowed in beach ultimate?,1,1,7000
Appendix E: Beach Ultimate Rules Adaptations,What is the game total for a standard beach ultimate game?,1,1,7119
Appendix E: Beach Ultimate Rules Adaptations,Where are the brick marks located in a 5v5 beach ultimate field?,1,1,6394
Appendix E: Beach Ultimate Rules Adaptations,Can a player stop active play to remove sand from their face in beach ultimate?,1,1,5590
Appendix E: Beach Ultimate Rules Adaptations,What is a sand foul in beach ultimate?,1,1,6537
Appendix E: Beach Ultimate Rules Adaptations,How long is the halftime in a standard beach ultimate game?,1,1,7037
Appendix E: Beach Ultimate Rules Adaptations,What part of the perimeter lines is considered out-of-bounds in beach ultimate?,1,1,6935
Appendix F: Ultimate 4’s Rules Adaptations,What is the total length of the field in Ultimate 4's?,1,0,6424
Appendix F: Ultimate 4’s Rules Adaptations,How many games must a team win to win a match in Ultimate 4's?,1,0,5056
Appendix F: Ultimate 4’s Rules Adaptations,To how many points are the first two games played in an Ultimate 4's match?,1,0,5056
Appendix F: Ultimate 4’s Rules Adaptations,What happens if a pull touches the out-of-bounds area in Ultimate 4's?,1,0,5342
Appendix F: Ultimate 4’s Rules Adaptations,What is the stall count duration in Ultimate 4's?,1,1,5882
Appendix F: Ultimate 4’s Rules Adaptations,How many timeouts are allowed per team per game in Ultimate 4's?,1,0,5327
Appendix F: Ultimate 4’s Rules Adaptations,What is the time limit for the first two games in an Ultimate 4's match?,1,0,3973
Appendix F: Ultimate 4’s Rules Adaptations,How is the mixed personnel ratio structured in Ultimate 4's?,1,0,6098
Appendix F: Ultimate 4’s Rules Adaptations,What is the bonus for winning the first two games in a tournament format in Ultimate 4's?,1,0,5754
Appendix F: Ultimate 4’s Rules Adaptations,What is the time limit for the third game in an Ultimate 4's match?,1,0,3973
